job_id,arrive_time,model_size,batch_size,dataset_size,epochs,uses_gpu,true_runtime
107,400,589,100,17318,20,0,423.3139388362311
108,400,235,59,27141,38,0,1274.0429725780466
109,400,650,54,22046,14,0,480.6040903797984
110,401,1230,114,17670,22,1,421.64762455738224
111,401,577,56,21709,37,0,1309.691607707487
112,429,73,106,67172,48,0,3008.391137192292
113,430,189,49,18959,13,0,357.5397153417881
114,430,377,54,80577,40,0,4415.398709909466
115,430,650,48,26623,16,0,783.0167547353185
116,430,370,40,59592,40,0,3966.9390241365227
117,430,512,35,4670,19,0,351.9903521075476
118,431,1390,29,69474,33,1,3008.2200193051117
119,431,763,45,67667,3,0,370.67208351582997
120,431,590,125,9115,35,1,283.49375186777047
121,431,145,127,67773,20,0,1104.9801351170174
122,431,233,123,42276,18,0,631.6724971543562
123,447,307,18,54312,7,0,888.258856878927
124,455,653,64,83217,46,0,5633.534038524756
125,472,144,45,80676,19,0,2202.5943459264686
126,479,706,83,83359,47,0,4550.003853169234
127,486,584,99,42147,36,0,1672.246024243412
128,491,539,109,11761,28,0,517.5229470487596
129,512,761,21,8360,14,0,505.26103069698803
130,540,632,80,4500,4,0,60.740582158889836
131,569,67,24,18098,22,0,613.379190368135
132,569,377,16,29329,19,0,1157.7169655543055
133,569,398,73,42556,16,0,735.9440709762287
134,570,1237,77,46692,6,1,223.19908147677228
135,570,504,36,95203,31,1,2615.4326560831146
136,570,514,28,1113,43,0,661.9355949129047
137,570,918,3,49756,44,1,3372.228039769441
138,570,396,105,36176,44,0,1534.250073732786
139,570,218,76,58524,21,0,1541.3697498779666
140,570,700,98,34762,3,1,71.65805161941351
141,570,191,46,44105,27,0,1543.3019987885739
142,570,918,9,71643,38,1,3962.6806926658546
143,571,177,44,42401,44,0,2187.2100125080497
144,571,563,37,64481,34,0,4168.963966769693
145,571,958,52,54178,35,1,2110.3739699760554
146,571,1403,5,79809,46,1,6367.883295824935
147,571,622,118,71876,23,0,1630.7814476119022
148,571,400,47,23617,8,0,297.9210611030548
149,582,264,106,37770,31,0,1138.3211641107846
150,583,73,53,27789,43,0,1344.8971929466916
151,583,360,62,40772,25,0,1143.0506512107104
152,583,468,125,89506,18,0,1574.9362933559428
153,583,584,120,29694,24,0,672.7653515501273
154,584,169,114,18218,36,0,588.2215752668757
155,584,1160,122,73291,17,1,835.9965485517395
156,584,294,10,72948,11,0,1911.3760693329505
157,584,623,111,76134,10,0,812.2153066230516
158,584,1416,83,88721,22,1,1677.7487582771455
159,584,939,98,41163,17,1,494.4362802157615
160,586,784,86,96321,33,0,3636.2280545930626
161,586,725,82,14819,41,1,605.070323598655
162,586,303,41,18855,4,0,139.3154033619349
163,586,187,123,38507,9,0,265.7316317045004
164,586,351,123,61236,9,0,464.52153472264655
165,586,632,23,25382,50,1,1719.479843695545
166,586,418,43,11117,10,0,228.9295726668436
167,586,1270,56,18420,39,1,1099.9392102668544
168,587,55,30,14815,38,0,704.3807355205306
169,587,50,18,77397,13,0,1993.9069368045684
170,587,621,84,54570,41,0,3194.8081504894753
171,587,784,108,43143,17,0,770.919877198892
172,595,89,68,74136,13,0,1157.0369981804251
173,595,434,99,47216,4,0,189.7014219501787
174,595,528,79,29579,14,1,307.38820669203955
175,595,151,32,71045,46,0,5265.939079116566
176,595,695,16,87292,33,0,6471.806894230038
177,595,641,105,34877,45,1,871.4865261715806
178,595,354,110,99578,13,0,1049.4213939422098
179,595,1195,61,8926,20,1,362.3350951150933
180,595,398,99,82155,11,0,978.7299956552449
181,595,410,40,98450,31,0,4911.023839805075
182,595,544,17,50311,24,0,2483.8045161558857
183,596,550,46,44858,40,0,2649.264274452965
184,596,350,36,45407,47,0,3569.7319127237174
185,596,880,35,65741,13,1,1073.5839722887342
186,596,244,91,88697,13,0,1257.2754045836675
187,596,489,99,5461,5,0,62.78703304466133
188,596,860,11,27898,15,1,695.5063890210563
189,596,647,15,2399,13,0,350.13215275455326
190,640,697,115,28588,23,0,719.0968943900896
191,649,832,77,44817,33,1,1170.8581446016174
192,649,920,3,84768,38,1,5348.616537817434
193,649,1392,89,1897,31,1,421.56715330452556
194,649,636,128,91292,30,0,2682.098629955985
195,649,443,84,42820,8,0,369.543332822863
196,649,375,70,50236,1,0,66.39932991739286
197,650,706,25,12263,25,0,944.6300709645346
198,650,56,89,52869,25,0,1425.2743266526827
199,650,336,6,14584,13,0,586.7284917801551
200,650,749,11,74301,47,1,4792.042250629167
201,650,314,124,80448,42,0,2905.4308474077934
202,650,799,50,55243,7,0,634.5780358946683
203,650,125,25,35614,5,0,287.76210850288663
204,650,742,104,34727,38,0,1122.095411292954
205,651,89,117,75823,20,0,1518.2259522673035
206,651,475,5,71784,43,0,7802.084763189605
207,651,947,22,47869,47,1,2750.2452302795814
208,652,1132,59,29985,15,1,502.60691483551653
209,652,655,90,17025,34,0,919.6697041923579
210,652,386,90,55224,44,0,2655.855568702174
211,652,508,107,15458,47,0,912.7981541258556
212,652,89,81,62900,5,0,420.94756798588605
213,652,581,63,92335,37,0,4378.18978389352
214,652,1335,60,51993,2,1,118.09936544781289
215,652,372,82,46481,49,0,2498.6145954357894
216,652,285,56,79120,7,0,734.7172132619608
217,652,712,111,25892,3,1,52.66019537616823
218,652,52,115,22650,37,0,555.9316090908964
219,653,1465,112,26130,23,1,484.1613304346321
220,653,310,25,48734,38,0,3098.3286907069037
221,653,102,111,22204,11,0,174.32703961507556
222,653,1043,108,24579,49,1,877.521635125446
223,653,1491,51,99146,40,1,3883.8819213815673
224,662,411,84,77658,18,0,1534.1862335545597
225,662,1210,113,70943,21,1,1162.5886218752053
226,662,235,120,95544,42,0,4012.8561629072947
227,663,88,37,31004,26,0,1173.2945787897404
228,663,471,33,47132,45,0,3323.2942987514084
229,663,321,17,38823,43,0,3370.999383600576
230,663,1032,120,22356,38,1,635.4112974730494
231,663,728,58,17038,2,1,40.47096101737706
232,664,343,125,31633,42,0,1142.485136438841
233,678,67,115,73668,50,0,3227.437651922343
234,679,234,4,96331,7,0,1533.8803394543063
235,679,538,76,37952,32,1,856.3129576860368
236,679,347,45,95329,46,0,5956.335590747274
237,680,318,6,62277,6,0,917.1145493179955
238,680,1025,58,87702,32,1,2723.4019126890153
239,694,625,64,57821,7,1,380.76339013461273
240,694,1158,79,20546,46,1,970.8401089862839
241,694,876,15,57813,4,1,361.5951794520601
242,695,212,36,49467,19,0,1342.5238835735267
243,695,262,89,84542,21,0,1995.9177615464266
244,695,563,48,47119,44,0,3324.6173879283633
245,695,733,77,29237,16,0,636.1928106326534
246,695,450,34,85111,4,0,693.4437075370998
247,695,294,45,64535,16,0,1646.3588377611904
248,695,462,62,76457,31,0,3425.289137794676
249,695,735,72,4589,6,0,113.60543244121202
250,696,623,65,53678,48,0,4253.301277641926
251,696,1301,21,54879,46,1,4270.153227072694
252,696,389,70,81377,5,0,522.177014580826
253,708,801,126,59418,43,1,1382.389314869336
254,738,108,3,68611,2,0,306.62923384678226
255,738,327,67,73054,13,0,1226.7034571023696
256,738,1408,36,75873,12,1,1151.4225942302223
257,738,662,65,74825,46,0,4898.884758268028
258,738,771,11,52796,13,1,1238.220113801035
259,739,574,36,59043,17,0,1563.1486293453424
260,739,1092,55,67421,28,1,2044.7565171503693
261,739,688,66,82439,10,0,1023.5789122157023
262,739,283,101,98149,13,0,1338.0728817235372
263,740,54,116,55817,8,0,419.3454159604967
264,740,248,11,33219,9,0,480.1905770802582
265,740,196,49,66899,1,0,104.07549439010958
266,740,465,1,42199,26,0,2369.1424197277993
267,740,835,58,74728,34,1,2506.7636881230874
268,740,1062,16,2449,34,1,788.9831294150854
269,741,549,42,47748,23,0,1687.6695201578234
270,741,868,13,52080,37,1,3198.168787984927
271,741,514,33,66532,35,0,3655.723953508381
272,741,244,77,93220,43,0,4693.659578922259
273,741,1285,106,11962,2,1,28.226104716976277
274,741,529,120,87191,44,0,3630.9597341265853
275,741,723,113,24028,37,1,602.7650366302073
276,741,183,50,49084,23,0,1421.294154498858
277,742,270,85,23491,37,0,1052.3330927808797
278,742,731,71,36485,15,1,421.41881513713633
279,742,527,103,5071,15,0,190.15723957895108
280,742,736,34,39506,13,1,523.3282714938481
281,742,633,84,41694,18,0,838.0555303231755
282,742,262,119,64972,14,0,895.1870268593359
283,748,746,98,59221,39,0,2535.3609537284356
284,748,576,120,19936,43,0,1057.7859259897132
285,749,761,20,50331,21,0,2098.333485297745
286,749,121,61,62844,43,0,3743.3448372395783
287,749,158,44,96456,20,0,2832.883124350834
288,749,966,99,27421,15,1,327.49987089089547
289,749,474,82,10404,7,0,119.25190059919355
290,749,748,125,12327,14,0,284.8441284262083
291,749,1031,89,47158,12,1,438.0041133465306
292,749,384,77,51074,48,0,3243.610506492207
293,749,319,116,74001,17,0,1104.0664034605002
294,749,772,37,25011,40,1,1350.6561587086117
295,750,623,55,74541,7,0,860.185945571913
296,750,170,124,40009,29,0,851.8590273332513
297,758,572,109,92955,48,1,2974.4366317546696
298,758,797,53,85645,44,0,6038.132944079966
299,758,564,41,37566,46,0,2476.482189492439
300,758,257,40,70540,9,0,1037.393890786822
301,758,750,31,85040,39,0,6433.606974659575
302,759,216,32,59492,25,0,2467.3042097981115
303,759,664,110,2763,20,0,223.3501535328779
304,759,645,6,80552,7,0,1314.3859757584596
305,759,165,66,71534,33,0,2768.6164996919956
306,759,585,40,62885,17,0,2085.910776003891
307,759,730,35,98689,47,1,5459.492231592677
308,759,732,11,74002,27,0,4919.690078131901
309,759,1226,19,6172,7,1,187.08800116937581
310,759,596,90,63775,50,0,3626.409199201527
311,759,1240,53,64356,30,1,2187.860130561743
312,760,58,96,71044,17,0,1230.2148554913556
313,766,555,32,30273,8,0,495.7082133627376
314,767,1374,34,57243,35,1,2766.344208264204
315,767,770,1,13027,38,0,1878.0021185458868
316,767,526,61,86748,31,1,2409.2260763258532
317,767,967,88,48993,28,1,1042.654868681759
318,767,108,79,56667,29,0,1827.9067656771174
319,768,723,43,16063,4,0,150.42734317445922
320,769,293,123,42444,15,0,455.39735014026894
321,770,326,17,74836,37,0,5343.870126863925
322,770,349,88,48333,24,0,1240.5566954546705
323,770,384,1,1241,17,0,298.17867494703967
324,771,967,100,50561,13,1,522.981103170203
325,771,416,57,81471,32,0,3375.2833504849746
326,777,228,71,47412,49,0,2536.457069527649
327,777,1282,40,75332,42,1,3585.060141313327
328,777,1076,103,97818,27,1,1883.136068029731
329,777,591,43,45353,16,0,1138.3101748787665
330,777,444,2,87540,6,0,1278.491635172114
331,778,108,54,88629,44,0,5314.537222513342
332,778,366,40,62345,4,0,367.22090749993873
333,778,1257,72,64164,16,1,809.1162963301286
334,778,742,103,59846,23,0,1657.6425706807274
335,778,684,52,51161,29,0,2485.821172057578
336,778,640,122,34081,19,0,637.5547957088282
337,778,1143,54,36410,16,1,619.4030714185377
338,804,526,59,95955,38,1,2899.3327267231793
339,804,1332,61,9210,36,1,821.0910893883365
340,804,407,25,38917,26,0,1723.9587541411527
341,804,556,92,11168,49,1,584.6989015452965
342,804,1298,18,41985,38,1,2595.216562208704
343,805,527,81,92059,47,0,5113.661728775878
344,805,57,6,82504,11,0,1868.1296158371522
345,805,155,56,40480,18,0,861.9259023196215
346,805,799,31,2759,12,0,331.3125014396842
347,805,308,8,93232,2,0,487.2083608974457
348,851,684,21,73260,47,0,6193.858208109521
349,851,483,82,66016,48,0,4377.607263391492
350,851,603,86,94994,27,0,2988.2993676872784
351,851,436,128,52403,28,0,1379.6616274137323
352,851,718,96,51125,48,1,1968.0093080381725
353,851,535,84,65912,6,0,469.15979169954613
354,851,249,100,32152,24,0,673.7174519935943
355,851,682,68,50847,43,1,1848.8561580050496
356,852,486,25,69493,14,0,2050.0517285841443
357,852,371,64,8419,36,0,576.7741256343558
358,852,569,64,61718,31,1,1760.3079997572056
359,852,778,40,53926,1,1,59.66301109383422
360,852,772,34,8908,2,0,61.295878427001696
361,852,464,107,14591,28,0,490.41650999176187
362,852,440,95,68496,50,0,3455.230058667661
363,853,755,65,46755,5,0,350.7615064015606
364,853,849,78,57408,49,1,2539.5060523276543
365,853,646,121,54707,38,0,2446.26413050694
366,877,276,124,75182,22,0,1420.3216722076027
367,902,338,75,90858,16,0,1558.0886677327962
368,909,1277,95,22853,34,1,745.4521659330213
369,910,961,45,88140,43,1,3810.6523017917534
370,910,799,114,34406,6,0,247.9045278186936
371,911,669,98,69594,27,0,1930.2590077061975
372,911,468,59,23875,46,0,1557.0470303915313
373,911,1492,91,40684,42,1,1598.4249417762765
374,911,517,119,7568,41,0,544.4364472907309
375,911,502,48,94348,37,0,5767.176431265839
376,911,610,52,68595,14,1,981.2938350364644
377,914,772,33,59296,33,0,3633.5734378219563
378,915,702,21,75280,26,1,2720.862518175247
379,915,736,90,18088,42,1,672.7175662281029
380,915,57,16,18529,8,0,264.267590004833
381,916,287,106,81910,13,0,1219.8089385338253
382,916,173,41,80445,13,0,1495.6804856111569
383,916,1484,91,51914,15,1,745.1356199037713
384,939,180,75,77625,17,0,1481.6752575621565
385,939,98,123,64396,3,0,190.24987741285483
386,939,636,27,23373,50,0,2605.1734636225833
387,939,494,48,44700,35,0,2071.804290601478
388,939,668,106,81991,29,1,1521.6616739132605
389,939,669,94,2337,20,1,149.10679027582142
390,940,392,55,27903,11,0,439.359292278106
391,940,579,89,19350,33,0,770.7890941649886
392,940,464,74,28600,27,0,926.135748430476
393,940,1036,4,11159,31,1,1154.247035252059
394,940,323,41,79301,13,0,1679.1671113863958
395,940,165,97,26464,8,0,163.2267347270876
396,940,609,108,88580,32,0,2517.8665994196185
397,940,1010,11,60946,21,1,1980.5081302487072
398,940,867,50,75746,38,1,3166.681648725501
399,940,194,14,21296,12,0,544.3858285563635
400,940,624,53,11008,13,0,377.45606035524645
401,940,701,43,47914,12,0,863.7478322574326
402,940,732,121,73091,36,0,2292.0981890502817
403,941,171,90,15389,40,0,676.6321628118563
404,941,622,38,76943,49,1,4067.750208605644
405,947,1239,64,11908,44,1,794.8976562361876
406,947,1255,61,44526,26,1,994.9510745230626
407,947,825,71,91012,29,1,1951.5266842934523
408,947,703,3,58937,21,1,2135.574809911399
409,947,547,74,32418,17,0,665.84355378276
410,947,538,116,4412,24,1,156.10683563862293
411,947,712,60,24171,8,0,326.3927990753052
412,948,331,111,69067,9,0,573.0743287774109
413,948,888,68,16189,33,1,725.0412122333964
414,948,737,55,64713,38,1,2288.75310621356
415,948,190,75,24389,38,0,1073.22131919655
416,948,294,40,97117,10,0,1584.3439892125798
417,948,81,56,86551,19,0,1765.4177352612473
418,948,769,59,86307,47,0,5874.626278133647
419,948,712,64,8255,26,1,349.8605283180853
420,948,276,20,13075,11,0,321.0944342541486
421,948,347,62,28045,9,0,317.24073467587965
422,948,715,64,9001,9,0,212.1172060934219
423,948,1349,90,73903,33,1,1984.9175065192017
424,948,514,21,9073,8,0,234.59137437107157
425,979,614,73,59473,7,0,564.2290855363012
426,979,175,95,91256,38,0,3278.3694137142165
427,980,600,4,63401,35,0,5822.541697946008
428,980,696,111,62864,26,1,914.4723229934465
429,980,224,75,80776,32,0,3171.838465427536
430,980,553,58,65161,20,0,1806.554042739046
431,980,124,92,14096,43,0,673.3326841596717
432,980,655,128,12265,1,0,17.810869896397843
433,980,71,43,8597,37,0,394.94276029824863
434,980,309,102,8168,24,0,249.89844876884322
435,981,1328,16,79858,50,1,6089.616391427557
436,981,94,61,95306,48,0,6472.748978520336
437,981,96,47,83158,23,0,2904.240805118036
438,981,596,73,50966,9,1,345.3425875042026
439,981,542,70,85702,34,1,1982.7871768973469
440,981,592,74,92931,4,1,255.0423392937709
441,981,1044,95,35783,7,1,154.13282549027247
442,992,1473,7,40989,49,1,3809.9806601875302
443,992,1422,102,69360,38,1,1996.5825152151347
444,993,129,10,95749,15,0,3090.0770155555156
445,993,421,9,61827,50,0,7565.274368552142
446,993,1306,48,89418,50,1,4714.601170681719
447,994,779,23,59257,49,1,3425.448711176831
448,994,136,120,73645,50,0,3001.0366847168716
449,994,1156,39,83891,48,1,4546.984807942218
450,1014,637,60,10214,6,0,131.6341465288164
451,1014,158,19,83361,29,0,4764.371636077185
452,1014,557,123,11809,28,0,438.85065950148334
453,1015,816,40,1101,40,1,554.052227827579
454,1015,219,20,3240,1,0,12.36830162258655
455,1015,1060,61,47907,15,1,564.9543423946608
456,1015,762,67,57248,50,0,4162.378108150804
457,1015,1350,104,84282,28,1,1728.6971489317195
458,1016,670,122,83663,21,1,1174.1516112919694
459,1032,417,14,54876,23,0,2578.572058356146
460,1035,720,33,2224,26,1,351.88578400571237
461,1041,137,17,22500,33,0,1373.6683961923318
462,1045,53,93,38328,6,0,194.25832988181756
463,1049,162,105,12827,45,0,564.0162324217894
464,1056,430,88,80789,49,0,4623.947193056938
465,1076,728,2,87220,38,0,9441.539664565573
466,1092,638,60,30744,29,1,764.878674075851
467,1097,720,53,90194,33,0,4615.955906273097
468,1098,61,64,39023,9,0,341.52334521456135
469,1098,1319,15,78232,10,1,1251.110395570976
470,1098,1352,66,5617,35,1,738.1374524731287
471,1098,133,93,46705,28,0,1286.7564613574518
472,1098,111,48,71816,16,0,1770.1120604175342
473,1098,81,83,11924,3,0,36.32119209567458
474,1098,230,123,88475,49,0,3956.768530451018
475,1098,1444,43,3947,33,1,751.7388334885246
476,1098,305,126,38873,25,0,664.0834840933162
477,1098,1342,41,5724,13,1,352.07255775914797
478,1098,340,48,10459,49,0,941.3877576750294
479,1099,630,78,25479,34,1,630.297887191025
480,1099,341,51,18231,4,0,116.19630720658277
481,1099,310,58,15289,31,0,641.9084970198923
482,1099,544,63,79522,12,0,1213.1234062872647
483,1099,115,73,44632,40,0,1801.3653762200902
484,1099,186,2,7143,23,0,408.23533109835597
485,1099,123,108,31145,22,0,561.089897517223
486,1106,771,110,89353,12,1,650.8641967200787
487,1122,467,93,27827,13,0,360.9605001665808
488,1136,334,125,12852,23,0,263.4787373995016
489,1136,907,10,96740,45,1,5363.347192272007
490,1137,400,114,3435,34,0,287.09630287641704
491,1137,814,40,34269,31,1,1101.572706952008
492,1137,264,7,69606,45,0,7317.2926378340935
493,1137,1353,55,34202,33,1,1352.3387116356341
494,1137,606,96,95714,35,1,2214.705097775559
495,1137,449,27,48678,5,0,399.1669593313867
496,1137,253,10,19488,2,0,105.59096187958839
497,1137,793,5,56769,34,0,5401.583229615225
498,1138,1495,102,37193,16,1,480.48327959096036
499,1138,263,126,41229,6,0,227.24705195746986
500,1138,656,23,38590,35,1,1506.525422771584
501,1138,115,114,99397,45,0,4332.907480131319
502,1138,987,31,52818,40,1,3182.291869210476
503,1138,1075,9,47584,40,1,2772.9152574499985
504,1138,50,127,42407,25,0,687.5059663835091
505,1138,633,19,38550,26,1,1339.4646949550686
506,1138,462,34,40828,17,0,1109.0176012795662
507,1138,275,104,30779,26,0,662.3620265587596
508,1161,793,11,14332,32,0,1870.189927598781
509,1162,697,71,21675,47,1,819.6041120143443
510,1162,594,121,1627,31,0,275.2048847293479
511,1162,369,21,88413,22,0,3872.9759753779203
512,1162,614,59,66972,32,0,3215.64698624519
513,1162,754,119,31145,19,0,590.9040519481056
514,1162,336,39,18071,23,0,702.4131488449573
515,1162,1379,75,9152,22,1,482.0448865242052
516,1162,667,97,52510,36,1,1359.6487814702966
517,1162,966,2,40585,13,1,871.6383965167455
518,1163,1173,5,5233,45,1,1351.1580159354123
519,1163,477,31,51394,40,0,3866.2448276239857
520,1163,751,120,76412,32,0,2903.742058066166
521,1163,722,12,56402,7,0,1073.5569119388658
522,1163,389,86,75762,23,0,1951.6959833606068
523,1163,356,31,90266,45,0,7250.894719632287
524,1163,1418,55,30075,13,1,504.3125366646753
525,1163,111,72,96811,24,0,2679.801660221015
526,1163,772,87,64661,39,0,3332.242882144953
527,1163,1341,121,11977,33,1,534.1917503959602
528,1163,559,70,46610,8,0,419.25660803818516
529,1194,741,57,56931,10,0,940.741599988647
530,1194,779,10,46864,25,0,2825.613613253892
531,1196,812,54,88681,42,1,3627.340791313846
532,1208,565,95,64362,48,0,4018.376699382932
533,1217,490,106,55295,45,0,2604.4986858199695
534,1218,792,87,62605,35,0,2577.884514820316
535,1225,204,1,44721,18,0,1739.3516185677167
536,1225,539,27,99700,4,0,801.8327778065114
537,1225,443,49,55844,25,0,2342.514457395392
538,1225,520,58,61754,31,0,2698.69176097718
539,1225,62,111,47358,25,0,1013.2668806491994
540,1225,465,107,98661,10,0,968.3764178257312
541,1225,237,51,74582,24,0,2672.8512336770004
542,1226,723,51,14158,3,1,55.64592602417473
543,1226,699,79,85927,47,1,2895.9958231417872
544,1226,346,75,69762,38,0,3056.239945910561
545,1226,858,98,57624,42,1,1853.451295993471
546,1226,754,127,37311,47,1,1008.5445763182448
547,1226,677,49,72524,49,0,4954.188028093087
548,1226,1203,42,97177,21,1,2193.1500918193697
549,1226,700,104,14034,42,0,865.2285012297048
550,1226,372,104,5392,49,0,468.1166151563889
551,1227,76,109,45628,22,0,779.4432157413378
552,1232,676,113,86803,26,0,2351.170573233332
553,1232,493,26,18118,16,0,615.3717012407216
554,1232,619,51,55392,29,1,1724.134388347818
555,1232,742,1,17365,35,1,1282.3281991241547
556,1232,183,4,19729,44,0,1951.9675619835348
557,1232,726,14,85036,36,0,7072.526040115022
558,1232,376,125,53012,41,0,1839.88212683036
559,1232,755,79,74045,15,1,903.2153979090117
560,1232,829,71,29524,34,1,989.2074820769026
561,1232,103,54,11338,24,0,341.0606141146303
562,1232,107,97,52562,11,0,637.7869431659699
563,1233,1425,70,33840,9,1,338.47425170749545
564,1233,331,120,67736,40,0,2241.7130037026554
565,1233,512,70,32740,44,0,1981.9676981526272
566,1233,53,22,46905,5,0,374.20855434984696
567,1233,580,69,64856,22,1,1233.6409216271022
568,1233,790,108,96416,11,0,1104.8082738867706
569,1233,1094,17,11174,41,1,1202.2892508673017
570,1233,618,64,33732,49,0,2155.7594157829008
571,1233,255,41,22585,47,0,1431.0433137890718
572,1233,1044,35,93821,43,1,4144.4497905983735
573,1233,666,42,48834,1,0,62.59745014012658
574,1233,353,8,31116,29,0,2105.058884408158
575,1233,256,57,69209,34,0,3575.4135218110314
576,1234,110,25,36486,2,0,105.92685370603579
577,1234,791,6,80069,11,0,2260.8193360446803
578,1234,720,38,15432,11,0,424.4593549163641
579,1234,556,64,17446,26,1,482.58871808920196
580,1245,1450,110,13357,30,1,553.995473596714
581,1246,134,83,15069,23,0,369.0043296891014
582,1246,388,116,77314,16,0,1257.288259784285
583,1246,1027,108,94799,42,1,2474.0943150027665
584,1246,949,74,5022,39,1,521.0502413122751
585,1246,322,87,46945,19,0,793.7197322503727
586,1246,513,5,46254,22,1,1414.9800248549304
587,1246,1225,54,35060,36,1,1129.4035461780927
